구분,음식명,재료량,곡류,채소,과일,육류,우유,유지,칼로리,탄수화물,지질,단백질,칼슘
밥류,누룽지,50,0.5,0,0,0,0,0,176,39.3,0.1,2.9,3
밥류,쌀밥,90,1,0,0,0,0,0,316.8,70.7,0.1,5.1,5.4
밥류,찰밥,90,1,0,0,0,0,0,336.6,73.7,0.4,6.7,3.6
밥류,현미밥,90,1,0,0,0,0,0,315,69.4,1.9,6.8,5.4
밥류,보리밥,100,1.1,0,0,0,0,0,351.3,78.4,0.2,6.1,7.3
밥류,수수밥,100,1.1,0,0,0,0,0,348.6,78.6,0.3,6.5,7
밥류,잡곡밥,100,1.1,0,0,0,0,0,352.8,76.6,0.6,7.8,15.5
밥류,차조밥,100,1.1,0,0,0,0,0,357.5,78.1,0.7,6.7,7.9
밥류,콩밥,100,1,0.4,0.4,0,0,0,354.6,73.7,1.9,8.6,27.8
밥류,팥밥,100,1.1,0,0,0,0,0,350.5,77.5,0.1,7.1,13.6
밥류,비빔밥,307,0.7,1.5,2.6,0,0,0.9,468.6,67.5,12.7,21.1,96.5
밥류,오므라이스,255.5,0.9,1.5,1.4,0,0,1.7,506.4,77.5,12.7,18.5,50.7
밥류,국밥,198,1,0.7,0.8,0,0,0,410.6,75.5,3.9,15.5,68.7
밥류,돈육카레라이스,230.7,0.9,0.8,1,0,0,0.9,540.4,90.8,14.3,15.6,163.7
밥류,짜장밥,267,1.1,0.6,1.7,0,0,1.8,495.6,86.8,10.5,11.9,42.9
밥류,참치회덮밥,265.5,0.8,1,1.9,0,0,1,461.6,78.6,4.8,23.8,67.9
밥류,김밥,190.5,0.8,0.8,1.5,0,0,2.1,444.8,71.2,12.8,10.7,42.4
밥류,생선초밥,262,0.8,2.6,0.2,0,0,0.5,521.4,70,9.3,34.2,127
밥류,유부초밥,147,0.8,0.8,0.6,0,0,2.3,460.2,77.1,12.3,9.8,95.4
빵류,곰보빵(소보로),80,0.7,0,0,0,0,1.8,300.8,45.2,10.6,7,28.8
빵류,"샌드위치,햄,치즈",150,0.7,0.7,0.2,0,0,1.5,361.5,34.2,15.9,21.3,133.5
빵류,식빵,100,0.9,0,0,0,0,0,283,51.1,5.2,8.3,22
빵류,쵸코파이(롯데),30,0.2,0,0,0,0,1.9,133.8,19.5,5.6,1.3,14.1
빵류,카스테라,100,0.8,0,0,0,0,1.9,323,55.1,8.5,6.7,44
빵류,"케이크,스폰지케이크",85,0.8,0,0,0,0,0.9,294.1,40.1,12.9,5.6,28.9
빵류,팥빵,80,0.5,0,0,0,0,1.4,234.4,42,4.9,6.1,24.8
빵류,피자,150,1,0.3,0.5,0,0.3,0,403.5,45.2,17.9,18.2,141
빵류,핫도그(패스트푸드),98,0.2,2.4,0,0,0,0,242.1,18,14.5,10.4,23.5
빵류,햄버거(맥도날드),100,0.5,0.5,0.2,0,0,1.1,260,34,9,13,17
스낵류,"감자스낵,포테이토칩",30,0.2,0,0,0,0,2.3,159.6,15.8,11.1,1.7,5.1
스낵류,"스낵,밀가루",28,0.2,0,0,0,0,1.9,135,19.3,5.5,2,5.9
면류,국수장국,184.3,1,0.7,0.9,0,0,0,415,74.8,3,18.7,76.2
면류,라면,169,1,0.9,0,0,0,2.6,515,73.9,20.6,16,41.7
면류,물냉면,239,0.9,1,0.6,0.2,0,0.3,428.6,76.3,6.1,19.7,36.8
면류,비빔국수,226.7,1,0.8,1.9,0,0,1.7,520.9,87.3,9.5,19.4,58.7
면류,수제비,207.5,1.1,0.2,1.1,0,0,0.5,409.6,77.6,3.4,14.2,51.2
면류,스파게티(패스트푸드),250,0.5,0.5,0.3,0,0,0,225,38.1,2.5,12.6,45
면류,우동,213,0.6,1.1,0.2,0,0,0,292.9,48.4,3.5,14.2,50.7
면류,짜장면,325.5,0.9,0.6,1.6,0,0,1.5,419.4,66.6,11,12.2,40
면류,짬뽕,341,0.7,0.6,2.4,0,0,0.7,353.4,58.9,5.1,17.5,65.8
면류,쫄면,251,1.4,0.5,0.7,0,0,0.8,584,110,5.3,19.3,59.5
면류,칼국수,246.1,0.6,0.6,1.1,0,0,0.2,278.9,48.5,4.8,13.7,88.1
면류,컵라면(작은것),72,0.6,0,0,0,0,1.6,274.3,44.6,10.2,6.2,11.5
면류,콩국수,224.7,1,1.5,0.5,0,0,0,488.3,81.2,6.8,24.5,92.9
면류,군만두,265,0.7,2.2,0.7,0,0,1.9,508.6,46.2,23.7,26.7,140.2
면류,만두국,188.9,0.8,1.2,0.6,0,0,0.1,377.7,32.8,18.6,20.6,60.9
면류,떡국,198,1.1,0.7,0.2,0,0,0.2,432.2,80.2,5.5,13.4,23.8
국류,감자국,98,0.1,0.4,0.2,0,0,0,82.2,10.9,1.6,6.3,11
국류,김치국,67.5,0,0.1,0.9,0,0,0,21.9,2.9,0.6,2.7,88.1
국류,동태국,123.5,0,0.6,0.9,0,0,0,71.7,4.9,0.7,12.2,49.5
국류,떡국,198,1.1,0.7,0.2,0,0.3,0.2,432.2,80.2,5.5,13.4,23.8
국류,무국,109,0,0.5,1.5,0,0,0,71.6,6.1,3.3,6.5,70.6
국류,미역국,36,0,0.4,0.7,0,0,1.2,87,2.9,6.8,5.7,62.1
국류,북어국,67,0,1.2,0.1,0,0,0.7,132.6,1.1,5.7,18.7,95.3
국류,쇠고기국,81.3,0,0.5,2,0,0,0,79.6,6.9,2.7,8.2,18.6
국류,어묵국,125.5,0,1.2,1.2,0,0,0,112.1,15.3,1.8,9.5,116
국류,오징어국,115,0,0.8,0.7,0,0,0,82.3,4.2,2.1,12.7,55.2
국류,조개국,87.5,0,0.5,0.7,0,0,0.5,70,3.6,3.3,6.8,37.3
국류,콩나물국,62.5,0,0.1,1.3,0,0,0.5,42.7,2.5,2.8,3.9,62.2
국류,우거지국,84,0,0.2,0.5,0,0,0,61.6,5.8,2.2,5.4,42.8
국류,해물된장국,145.5,0,0.9,0.8,0,0,0,111.7,7.1,2.2,15.5,72.7
탕류,갈비탕,214.5,0.1,3.5,1,0,0,0,362.7,9,22.9,27.2,39.9
탕류,감자탕,155.7,0.1,1.4,1,0,0,0.1,195.5,12.8,10.9,12.2,25.4
탕류,곰탕,114,0.2,1.1,0.5,0,0,0,182.6,17.7,4.9,15.3,26.3
탕류,꽃게탕,144.5,0,0.7,1.2,0,0,0,81.3,6.9,0.9,12,112.6
탕류,내장탕,166.5,0,1.6,1.3,0,0,0,177,5.7,12.1,12.7,49.6
탕류,닭곰탕,114,0.1,1.1,0.6,0,0,0,136.6,6.6,6.4,12.6,18.2
탕류,보신탕,162.5,0,2.2,1.8,0,0,0,210.5,8.4,14.2,13.7,77.1
탕류,삼계탕,506,0.3,8.6,1.7,0,0,0,932.2,28,48,88.5,65.8
탕류,설렁탕,120.5,0.2,0.9,0.8,0,0,0,176.1,18.6,3.9,15.1,23.1
탕류,순대국,156,0.1,0.8,1.7,0,0,0,155.8,16.8,5,12.1,137.3
탕류,오리탕,131,0.3,1.5,1.6,0.3,0,0,241.7,27.2,6.8,17.1,26.4
탕류,육개장,233.1,0,1.4,2.5,0,0,1.5,234.1,10.7,13.5,19.3,63.5
탕류,추어탕,187,0,1,1.2,0,0,0.1,113.5,6.7,3.3,15.3,653.6
탕류,알탕,164,0,1.4,0.9,0,0,0,135.8,6.6,5.5,16.8,127.6
탕류,우럭매운탕,164.5,0,0.9,1.4,0,0.3,0,120.8,10.4,2.1,15.9,59.9
탕류,닭매운탕,144,0,1.1,1.3,0,0,0.5,187,13.6,9,13.7,30.1
탕류,돈육감자탕,162,0.2,0.8,1.3,0,0,0,178.4,22,6.5,9.1,19.8
찌개류,갈치찌개,150,0,1.5,0.8,0,0,0,161.4,8.7,6.9,16.7,80.1
찌개류,고등어찌개,156,0,1.6,1.3,0,0,0,178.5,10.8,7.9,16.3,45.5
찌개류,동태찌개,168,0,1,1.1,0,0,0,126.3,9.9,2.7,17.3,139
찌개류,참치김치찌개,121.7,0,0.6,1.5,0,0,0.5,67.5,5,1.3,10.4,36.9
찌개류,돼지고기찌개,205,0.1,2,1.4,0,0,0,242.5,13.3,14.3,16.5,109.9
찌개류,부대고기찌개,218,0.2,2.8,1.4,0,0,0.5,362.3,24.6,21.1,91.9,91.9
찌개류,된장찌개,127,0.1,0.4,1.1,0,0,0,99.7,11.7,2.7,143.1,143.1
찌개류,청국장찌개,151,0.1,1,1.1,0,0,0,118.3,8.9,4.5,132,132
찌개류,순두부찌개,232.1,0,2,1.1,0,0,0.2,203,7,12.7,99.4,99.4
찌개류,콩비지찌개,193.7,0,1.4,1.1,0,0,0,154.8,15.9,7.8,98.9,98.9
찜류,꼬막찜,121.7,0,0.8,0.6,0,0,0.7,126.7,11.7,3.4,111.7,111.7
찜류,동태찜,152,0,0.7,1.2,0,0,0.2,100.1,6,2.6,111.8,111.8
찜류,북어찜,56,0,1,0.5,0,0,0.7,141.7,11.2,3.3,93.6,93.6
찜류,조기찜,148,0,0.8,1.2,0,0,0.2,107.3,5.9,3.2,59.1,59.1
찜류,갈비찜,187,0,2.8,2.3,0,0,0.3,317.2,11.5,20.3,41.7,41.7
찜류,닭찜,157.6,0.1,1.1,2.1,0,0,1.2,207.5,18.8,8.6,23.3,23.3
찜류,깻잎찜,25.5,0,0.1,0.5,0,0,0.1,27.1,3.8,1.4,39.1,39.1
찜류,두부찜,83,0,0.8,0.2,0,0,0.2,81.3,1.9,5.5,78.1,78.1
구이류,갈치구이,72,0,1.3,0,0,0,0,104.3,0.1,5.3,13,33
구이류,고등어구이,72,0,1.6,0,0,0,0,128.1,0,7.3,14.1,19
구이류,꽁치구이,72,0,1.4,0,0,0,0,115.5,0.1,6.1,13.7,38.6
구이류,삼치구이,72,0,1.2,0,0,0.3,0,95.9,0,4.3,13.2,17.6
구이류,임연수구이,72,0,1.4,0,0,0,0,116.2,0,6.2,13.8,25.3
구이류,조기구이,72,0,0.8,0,0,0,0,65.1,0,1.2,12.8,26
구이류,돼지고기구이,98,0,1.7,0.6,0,0,0.3,195.9,5.9,13.3,11.5,16.3
구이류,삼겹살구이,61.5,0,2.1,0,0,0,0.2,207.4,0.2,18,10.3,5
구이류,햄구이,40,0,0.7,0,0,0,0,52.4,2.4,1.7,6.6,2
구이류,김구이,3.5,0,0,0.2,0,0,0.2,11.3,0.8,1,0.8,6.7
구이류,옥수수구이,100,0.4,0,0,0,0,0,140,29.4,1.2,4.9,21
부침류,김치전,129,0.2,0.3,1.1,0,0,1.2,157.3,19.3,6.5,6.2,50.7
부침류,깻잎전,76,0.2,0.6,0.3,0,0,1.2,174.7,16.3,7.8,8.9,33.1
부침류,부추전,151,0.2,0.8,1.2,0,0,1.2,196.9,18.8,7.1,14,48.9
부침류,야채전,101,0.3,0.2,0.7,0,0,1.2,160.8,21.9,6.1,4.8,35.1
부침류,파전,151,0.3,0.6,0.8,0,0,1.2,213.7,26.8,7,10.3,74.7
부침류,햄부침,80.1,0.2,1,0,0,0,1.2,179.6,14.2,8.5,10.5,12.7
부침류,두부부침,86,0,0.7,0,0,0,1.2,111.4,1.1,9.5,7.4,101.2
볶음류,건새우볶음,33,0,0.7,0.1,0,0,1.1,107.1,6.2,3.8,11.7,422.2
볶음류,고추멸치볶음,53.8,0,0.5,1,0,0,1.4,112.3,7.9,4.8,7.5,147.1
볶음류,낙지볶음,152,0,0.5,1.4,0,0,1.6,132.2,12.3,5.8,9.1,35.2
볶음류,오징어볶음,145.2,0,0.6,1.4,0,0,1.6,154.7,14.2,6.4,11.8,38.9
볶음류,오징어채볶음,37.5,0,0.8,0,0,0,1.1,126.3,7.5,4.7,13,56.8
볶음류,닭볶음,138,0.1,1.1,0.9,0,0,0.8,181.2,10.6,9.6,13.5,22.8
볶음류,돼지고기볶음,143.1,0,1.7,1.2,0,0,1.2,248.3,12.7,16.4,12.2,28.9
볶음류,소세지야채볶음,89,0,1.4,0.8,0,0,1,163.9,8.8,12,6.6,18.3
볶음류,쇠고기볶음,109.5,0,1.2,1,0,0,0.5,150.7,4,8.9,13,28.8
볶음류,햄야채볶음,131.1,0.1,1.3,2,0,0,1.4,212.8,14.5,13.8,8.8,23.9
볶음류,김치볶음,94.5,0,0.6,1,0,0.3,1.3,115.5,3.3,9.8,4.8,33.2
볶음류,마늘쫑볶음,85.7,0,0,2.4,0,0,0.7,68.6,9.5,3.7,2.3,29.7
볶음류,미역줄기볶음,98,0,0,1.2,0,0,1.2,65.9,5.2,5.9,1.8,95.1
볶음류,버섯볶음,125.5,0,0.5,2,0,0,0.7,100,6.6,5.9,7.1,33
볶음류,양파볶음,77,0,0.1,1.7,0,0,1.2,73.8,6.1,5.6,0.9,25.5
볶음류,떡볶기,120,0.5,0,0.7,0,0,0.6,228.6,48.4,1.9,4.4,19.6
볶음류,잡채,108.7,0.3,0.3,1.3,0,0,0.7,167.7,28.4,4.3,4.8,39.7
조림류,갈치조림,145.5,0,1.3,1,0,0,0.4,142.4,7.7,5.5,14.4,49.2
조림류,어묵조림,78,0,1,0.1,0,0,1,132.7,16.7,4,7.8,51.1
조림류,고등어조림,160.5,0,1.6,1.4,0,0,0.3,172.4,8.8,7.7,16.2,44.6
조림류,꽁치조림,149,0,1.4,1.1,0,0,0.1,146.7,5.6,6.4,15.4,58.5
조림류,동태조림,148,0,0.6,1.1,0,0,0.3,91.8,8,0.7,13,52.5
조림류,병어조림,141.1,0,1.1,1.1,0,0,0.2,122.1,8,3.9,14.4,44.7
조림류,북어조림,41.1,0,1.2,0.2,0,0,0.4,116.3,3.1,1.6,21.3,81.5
조림류,양미리조림,113,0,1,1,0,0,0.4,119.9,7.2,3.6,13.5,63.1
조림류,닭조림,142,0,1.1,1.1,0,0,1.4,200,14.4,9.5,13,20.2
조림류,감자조림,123.2,0.2,0,0.6,0,0,0.4,86.8,18.5,0.5,3.5,23.5
조림류,무조림,34.2,0,0,0.3,0,0,0.1,18.1,3,0.6,1,21.1
조림류,연근조림,66,0,0,2.4,0,0,0.6,62.3,12.5,1.1,1.8,15
조림류,우엉조림,68.8,0,0,2.3,0,0,1.1,82,12.1,3.4,2.4,38.9
조림류,땅콩조림,35,0,1.2,0,0,0,0.8,145.4,10.1,9.9,5.6,20.5
조림류,콩조림(콩자반),31.5,0,0.8,0,0,0,0.5,103.5,9.7,4.9,7.7,52.6
나물류,도라지나물,56,0,0.1,3.7,0,0,0.2,65.2,12.9,1.7,1.5,30.6
나물류,무숙채,92.5,0,0,1.2,0,0,0.9,54.8,4.3,4.3,1,38.6
나물류,미나리나물,89.7,0,0,1,0,0,0,32.1,6.3,0.6,2,33.7
나물류,배추나물,89.9,0.3,0,0.7,0,0.3,0.2,36.8,7.8,0.7,1.7,43.9
나물류,비름나물,80,0,0,1.7,0,0,0.5,56.1,5.1,3.8,3,145.9
나물류,숙주나물,75.5,0,0,0.7,0,0,0.1,13.8,1.6,0.6,1.6,13.3
나물류,시금치나물,85,0,0.1,1.7,0,0,0.5,53.6,5.2,3.5,2.9,58.2
나물류,시래기나물,86,0,0.1,1.2,0,0,0.3,37.6,5.4,1.7,2.2,192.1
나물류,취나물,79,0,0,1.7,0,0,0.2,41.3,5.3,1.6,3,90.8
나물류,콩나물,77.7,0,0,1.8,0,0,0.2,40,3.8,2.3,4,36.5
무침류,골뱅이무침,126,0,0.9,0.7,0,0,0.1,102.1,9.1,1,14.4,55.7
무침류,오징어채무침,32,0,0.8,0.1,0,0,0.7,102.6,4.7,3.4,12.8,50.2
무침류,쥐포무침,31,0,0.7,0.1,0,0,0.6,95.2,9.8,2.5,8.1,27.5
무침류,홍어회무침,143.5,0,0.5,1.5,0,0,0.2,85.2,9.8,0.6,11.4,183
김치류,고들빼기김치,60,0,0,2.9,0,0,0,39.6,7.1,1.6,2.5,69
김치류,깍두기,50,0,0,1.2,0,0,0,16.5,3.7,0.2,0.8,18.5
김치류,나박김치,100,0,0,0.6,0,0,0,9,2.5,0.1,0.8,36
김치류,동치미,100,0,0,0.8,0,0,0,11,3,0.1,0.7,18
김치류,배추김치,60,0,0,0.8,0,0,0,10.8,2.3,0.3,1.2,28.2
김치류,부추김치,61,0,0,1.3,0,0,0,26.8,4,0.6,2.9,29.1
김치류,열무김치,50,0,0,1.4,0,0,0,19,4.3,0.3,1.6,58
김치류,오이소배기,89,0,0,0.8,0,0,0,22,4.1,0.6,1.8,37.3
김치류,총각김치,50,0,0,1.5,0,0,0,21,4.3,0.3,1.3,21
김치류,파김치,60,0,0,2.2,0,0,0,31.2,7.1,0.5,2,42
기타,모듬회,80,0,1.1,0,0,0,0,89.4,0.1,2.3,15.9,32
기타,마늘장아찌,20,0,0,0.8,0,0,0,106,2.3,0,0.8,6.4
기타,쌈장,22,0,0,0.2,0,0,0.2,40.5,3.8,1.8,2.3,10.5
유제품,우유,200,0,0,0,0,1,0,120,9.4,6.4,6.4,210
유제품,아이스크림,100,0,0,0,0,0.2,4.2,186,24.4,8.6,3,113
유제품,"요구르트,액상",150,0,0,0,0,0.8,0,97.5,22.4,0.2,2.3,58.5
유제품,"요구르트,호상",110,0,0,0,0,0.9,0,113.3,18.5,2.6,3.9,182.6
유제품,"치즈,체다",20,0,0,0,0,0.4,0,47.2,4,1.8,3.5,86.8
음료류,사이다,100,0,0,0,0,0,1.1,40,10.1,0,0,2
음료류,식혜,100,0,0,0,0,0,2.7,104,22.7,0.1,2.4,75
음료류,캔커피,200,0,0,0,0,0,0.6,22,9.8,0.8,1.2,20
음료류,"커피,설탕,프림",115,0,0,0,0,0,1.1,42.8,5.8,1.9,0.4,11.7
과일류,귤,100,0,0,0,0.8,0,0,42,10.8,0.1,1,9
과일류,바나나,100,0,0,0,1.5,0,0,80,21.1,0.2,1.2,4
과일류,배,100,0,0,0,0.8,0,0,39,10.9,0.1,0.3,2
과일류,"사과,후지",100,0,0,0,1.1,0,0,57,15.8,0.1,0.3,3
과일류,수박,200,0,0,0,0.9,0,0,48,10.6,0.8,1.6,2
과일류,포도,100,0,0,0,1.2,0,0,60,14.1,0.8,0.4,12
과일류,"오렌지,천연과즙",100,0,0,0,0.8,0,0,42,10.5,0.2,0.7,11
과일류,과일샐러드,130,0.1,0,0,1.6,0,1.7,171.9,27.5,7.6,1.4,13.2
기타,"감자,찐것",130,0.3,0,0,0,0,0,89.7,19.9,0,3.9,5.2
기타,"고구마,찐것",140,0.5,0,0,0,0,0,179.2,43.8,0,2.1,22.4
기타,"땅콩,볶은것",13,0,0.8,0,0,0,0,73.7,2.8,6.3,3.3,6.8
기타,가래떡,100,0.7,0,0,0,0,0,239,52.5,0.8,4.1,4
기타,"시루떡,붉은팥고물",100,0.6,0,0,0,0,0,205,43.6,0.8,5.7,19
기타,"인절미,콩고물",100,0.7,0,0,0,0,0,217,44.8,1.7,4.9,19
기타,찹쌀떡,100,0.7,0,0,0,0,0,236,50.4,1.4,4.8,15
기타,껌,3,0,0,0,0,0,0.3,11.6,2.9,0,0,0.1
기타,사탕,14,0,0,0,0,0,1.4,52.4,13,0,0,2.7
기타,씨리얼(아몬드푸레이크),90,1.1,0,0,0,0,0,365.4,71.6,6.7,6.5,0
기타,쵸코렛,25,0,0,0,0,0,3.6,137.3,15.4,8,1.1,8.5
기타,참치통조림,70,0,1.2,0,0,0,3,207.9,0,16.4,12.7,4.9
기타,버터,6,0,0,0,0,0,1.2,44.8,0,5.1,0,1.3
